priority,name,country_code,operator_type,application_status,application_note,has_explicit_deadline,typical_award_amount,typical_award_currency,max_cap_amount,max_cap_currency,last_verified,freshness,days_old,source_domain,source_url,source_description,flags,seed_line
0,Nordisk Film & TV Fond Documentary Top Financing,NO,foundation,rolling,Applications are evaluated continuously via the fund portal; the 2025 guidelines note a new documentary deadline regime from 2026.,no,,,1000000.0,NOK,2026-04,current,-13,nordiskfilmogtvfond.com,https://nordiskfilmogtvfond.com/assets/download/Guidelines_2025_English.pdf,Nordisk Film & TV Fond - Guidelines 2025,,6614
0,Sørfond Grant,NO,mixed,closed,The 2026 Sørfond deadline was 12 March 2026 at 12:00 GMT+1; the form opens four weeks before the deadline.,yes,,,1000000.0,NOK,2026-04,current,-13,www.sorfond.no,https://www.sorfond.no/about-s%C3%B8rfond,"Sørfond - About, criteria and 2026 deadline",,5614
0,Doha Film Institute Grants Programme,QA,mixed,closed,The Spring 2026 grants cycle opened 29 December 2025 and closed 8 January 2026; the programme normally returns with a fall cycle.,yes,,,100000.0,USD,2026-04,current,-13,www.dohafilm.com,https://www.dohafilm.com/en/funding-industry/funding/grants,Doha Film Institute - Grants programme and Spring 2026 cycle dates,,5420
0,Qatari Film Fund (Doha Film Institute),QA,mixed,closed,The 2025 Qatari Film Fund cycle ran from 26 January 2025 to 13 February 2025; the next cycle has not yet been announced.,yes,,,182500.0,QAR,2026-04,current,-13,www.dohafilm.com,https://www.dohafilm.com/en/funding-industry/funding/qff,Doha Film Institute - Qatari Film Fund page and 2025 submissions announcement,,3330
0,Red Sea Fund (Saudi Arabia),SA,festival,closed,The 2026 Production Fund cycle closed on 21 March 2026; the next published window is the Development Fund cycle from 6-21 May 2026.,yes,,,500000.0,USD,2026-04,current,-13,redseafilmfest.com,https://redseafilmfest.com/en/red-sea-fund/,Red Sea Film Foundation - Red Sea Fund programme page and 2026 cycle calendar,,3349
0,SGIFF SEA-DOC Grant,SG,foundation,closed,The current public page reflects the 2025 grant cycle; the next open call was not posted on the page as of 17 April 2026.,yes,,,30000.0,SGD,2026-04,current,-13,sgiff.com,https://sgiff.com/sgiff-film-fund/,SGIFF Film Fund - SEA-DOC Grant,,5676
0,Purin Film Fund - Production Fund,TH,foundation,closed,Spring 2026 submissions are closed; the next fall cycle opens 1 August 2026 and closes 1 September 2026.,yes,,,30000.0,USD,2026-04,current,-13,www.purin.org,https://www.purin.org/funds/production-fund/,Purin Film Fund - Production Fund regulations and timeline,,5655
0,European Solidarity Fund for Ukrainian Films,UA,mixed,closed,The 2025 production call opened on 18 May 2025 and closed on 30 June 2025.,yes,,,90000.0,EUR,2026-04,current,-13,esfuf.eu,https://esfuf.eu/how-to-apply/,ESFUF - How to apply and 2025 production call,,94
0,AFS New Texas Voices Award,US,mixed,closed,The 2026 New Texas Voices Award opens with the AFS feature-grant cycle on 15 April 2026 and closes on 20 May 2026 at 6 p.m. CT.,yes,,,10000.0,USD,2026-04,current,-13,www.austinfilm.org,https://www.austinfilm.org/afs-grants/afs-grants-applications/,Austin Film Society - New Texas Voices Award within AFS Grant applications,,6431
0,AXS Film Fund,US,mixed,closed,The published 2025 cycle opened on 2 June 2025 and closed on 31 July 2025 at 11:59 p.m. ET; as of 7 April 2026 no new cycle is posted.,yes,,,10000.0,USD,2026-04,current,-13,www.axsfilmfund.org,https://www.axsfilmfund.org/what-we-fund/,AXS Film Fund - What We Fund and How to Apply,,6351
0,Austin Film Society Grant for Feature Films,US,mixed,closed,The 2026 AFS Grant for Feature Films opens on 15 April 2026 and closes on 20 May 2026 at 6 p.m. CT.,yes,,,15000.0,USD,2026-04,current,-13,www.austinfilm.org,https://www.austinfilm.org/afs-grants/afs-grants-applications/,Austin Film Society - AFS Grant applications and 2026 feature-film dates,,6391
0,Berkeley Film Foundation Documentary Grant Program,US,foundation,open,The 2026 documentary application window opened on 16 March 2026 and closes on 13 April 2026 at 11:59 p.m. PST.,yes,,,25000.0,USD,2026-04,current,-13,berkeleyfilmfoundation.org,https://berkeleyfilmfoundation.org/documentary-grant-program,The Berkeley Film Foundation - Documentary Grant Program,,6251
0,Berkeley Film Foundation Student Documentary Grant,US,foundation,open,The 2026 student grant deadline is 13 April 2026 at 11:59 p.m. PST.,yes,,,5000.0,USD,2026-04,current,-13,berkeleyfilmfoundation.org,https://berkeleyfilmfoundation.org/student-grants,The Berkeley Film Foundation - Student Grants,,6271
0,Black Public Media Open Call,US,mixed,closed,The official 2024 Open Call submissions portal is closed; as of 7 April 2026 Black Public Media has not posted a newer feature-documentary open-call cycle on the programme page.,yes,,,150000.0,USD,2026-04,current,-13,blackpublicmedia.org,https://blackpublicmedia.org/for-media-makers/bpm-open-call/,Black Public Media - BPM Open Call,,6291
0,Catapult Development Grant,US,mixed,open,The 2026 Step 1 application opened on 23 March 2026 and closes on 20 April 2026 at 5 p.m. PT.,yes,,,25000.0,USD,2026-04,current,-13,catapultfilmfund.org,https://catapultfilmfund.org/how-to-apply/development/,Catapult Film Fund - Development Grant 2026 overview and guidelines,,6209
0,Catapult Research Grant,US,mixed,closed,"The 2026 Research Grant is closed; Catapult's 2026 page lists a 7 January 2026 opening, a 2 February 2026 deadline, and a Spring 2026 cohort announcement.",yes,10000.0,USD,10000.0,USD,2026-04,current,-13,catapultfilmfund.org,https://catapultfilmfund.org/how-to-apply/research/,Catapult Film Fund - Research Grant 2026 overview and guidelines,,6229
0,Chicken & Egg Films - Research & Development Grant,US,foundation,closed,The 2026 Research & Development Grant closed on 4 February 2026; Chicken & Egg says the next cycle is tentatively expected to open in December 2026.,yes,,,20000.0,USD,2026-04,current,-13,chickeneggfilms.org,https://chickeneggfilms.org/programs/research-and-development-grant,Chicken & Egg Films - Research & Development Grant,,5812
0,Ellis-Beauregard Foundation Documentary Film Award,US,mixed,open,"The 2026 submissions opened on 16 March 2026 and remain open until 16 April 2026, or until 300 applications have been received.",yes,,,50000.0,USD,2026-04,current,-13,pointsnorthinstitute.org,https://pointsnorthinstitute.org/artist-programs/ellis-beauregard-foundation-documentary-film-award/,Points North Institute / Ellis-Beauregard Foundation - Documentary Film Award 2026,,6331
0,Film Independent Sloan Distribution Grant,US,mixed,closed,"As of 7 April 2026, Film Independent's applications page does not list the Sloan Distribution Grant among open programs; monitor the applications page for the next window.",yes,,,50000.0,USD,2026-04,current,-13,www.filmindependent.org,https://www.filmindependent.org/programs/grants-and-awards/sloan-distribution-grant/,Film Independent - Sloan Distribution Grant and applications page,,5971
0,Firelight Media Documentary Lab,US,mixed,open,The 2026 open call began on 6 April 2026 and closes on 4 May 2026 at 11:59 p.m. ET.,yes,,,25000.0,USD,2026-04,current,-13,www.firelightmedia.tv,https://www.firelightmedia.tv/documentary-lab,Firelight Media - Documentary Lab Fellowship 2026,,6311
0,IDA Logan Elevate Grant,US,mixed,closed,"As of 7 April 2026, IDA says the Logan Elevate Grant remains paused for the 2025 funding cycle while the program is under strategic review.",yes,30000.0,USD,30000.0,USD,2026-04,current,-13,www.documentary.org,https://www.documentary.org/creators/funding/logan-elevate-grant,International Documentary Association - Logan Elevate Grant,,6149
0,IDA Pare Lorentz Documentary Fund,US,mixed,closed,"The 2025 nomination cycle used a migration-in-the-Americas theme, with short applications due by the end of June 2025 and grantees selected by the end of September 2025; as of 7 April 2026 no new cycle has been posted.",yes,25000.0,USD,25000.0,USD,2026-04,current,-13,www.documentary.org,https://www.documentary.org/parelorentz,International Documentary Association - Pare Lorentz Documentary Fund,,6109
0,ITVS Development Fund,US,mixed,closed,"As of 7 April 2026, ITVS says the Development Fund is not currently accepting applications.",yes,,,35000.0,USD,2026-04,current,-13,itvs.org,https://itvs.org/funds/development-fund/,ITVS - Development Fund,,6011
0,ITVS Incubator Fund,US,mixed,closed,"As of 7 April 2026, ITVS lists the Incubator Fund as 'Applications Closed January 30.'",yes,10000.0,USD,,EUR,2026-04,current,-13,itvs.org,https://itvs.org/funds/incubator-fund/,ITVS - Incubator Fund,,6049
0,ITVS Open Call,US,mixed,closed,"As of 7 April 2026, ITVS says Open Call is not currently accepting applications.",yes,,,400000.0,USD,2026-04,current,-13,itvs.org,https://itvs.org/funds/open-call/,ITVS - Open Call,,5991
0,LEF Moving Image Fund,US,foundation,closed,"The 2026 LEF guidelines keep separate August and January deadlines: Early Development and Pre-production share the August deadline, while Production and Post-production share the January deadline.",yes,,,25000.0,USD,2026-04,current,-13,lef-foundation.org,https://lef-foundation.org/moving-image-fund/guidelines/,LEF Foundation - Moving Image Fund guidelines,,6171
0,North Texas Pioneer Film Award,US,mixed,closed,The 2026 North Texas Pioneer Film Award opens with the AFS feature-grant cycle on 15 April 2026 and closes on 20 May 2026 at 6 p.m. CT.,yes,,,15000.0,USD,2026-04,current,-13,www.austinfilm.org,https://www.austinfilm.org/afs-grants/afs-grants-applications/,Austin Film Society - North Texas Pioneer Film Award within AFS Grant applications,,6411
0,SFFILM Catapult Documentary Fellowship,US,mixed,closed,SFFILM announced the inaugural fellowships on 26 March 2026; the current round is closed and future rounds have not yet been posted.,yes,,,10000.0,USD,2026-04,current,-13,sffilm.org,https://sffilm.org/press-releases/sffilm-expands-documentary-support-with-announcement-of-inaugural-sffilm-catapult-documentary-fellowships-and-renewal-of-ampas-doc-talks-program/,SFFILM - Catapult Documentary Fellowship announcement,,5891
0,SFFILM Cedar Road Iyagi Grant,US,mixed,open,The 2026 grant opened 10 February 2026; deadlines are 8 May 2026 and 22 May 2026.,yes,,,30000.0,USD,2026-04,current,-13,sffilm.org,https://sffilm.org/cedar-road-iyagi-grant/,SFFILM Cedar Road Iyagi Grant overview and 2026 timeline,,5951
0,SFFILM Documentary Film Fund,US,festival,open,The 2026 fund opened 3 March 2026; deadlines are 9 June 2026 and 7 July 2026.,yes,,,20000.0,USD,2026-04,current,-13,sffilm.org,https://sffilm.org/documentary-film-fund/,SFFILM Documentary Film Fund overview and 2026 timeline,,5871
0,SFFILM Rainin Grant,US,mixed,open,The 2026 grant opened 10 February 2026; deadlines are 8 May 2026 and 22 May 2026.,yes,,,25000.0,USD,2026-04,current,-13,sffilm.org,https://sffilm.org/rainin-grant/,SFFILM Rainin Grant overview and 2026 timeline,,5850
0,SFFILM Sloan Science in Cinema Filmmaker Fellowship,US,mixed,open,The 2026 fellowship opened 10 February 2026; deadlines are 8 May 2026 and 22 May 2026.,yes,,,35000.0,USD,2026-04,current,-13,sffilm.org,https://sffilm.org/sloan-science-in-cinema-filmmaker-fellowship/,SFFILM Sloan Science in Cinema Filmmaker Fellowship overview and 2026 timeline,,5911
0,Sundance Institute Documentary Fund,US,foundation,closed,"The 2025 Documentary Fund deadline was 14 July 2025, and as of 7 April 2026 Sundance says the next open call will be in late spring / early summer 2026.",yes,,,100000.0,USD,2026-04,current,-13,www.sundance.org,https://www.sundance.org/programs/documentary-film,Sundance Institute Documentary Film Program - Documentary Fund and 2025 application materials,,5754
0,Sundance Institute | Sandbox Fund,US,foundation,closed,The 2026 Spring Cycle closed on 13 April 2026; Sundance says the fund runs two cycles per year and the next cycle will be announced later in 2026.,yes,,,100000.0,USD,2026-04,current,-13,www.sundance.org,https://www.sundance.org/sandbox-fund/,Sundance Institute | Sandbox Fund,,5775
0,Vision Maker Media Creative Shorts Fellowship,US,mixed,open,"As of 7 April 2026, Vision Maker Media's Fund Your Film page shows the Creative Shorts Fellowship as open via an 'Apply Today' link, while the current guidelines PDF does not publish a fixed closing date.",yes,,,25000.0,USD,2026-04,current,-13,visionmakermedia.org,https://visionmakermedia.org/wp-content/uploads/2026/03/CSF_Guidelines.pdf,Vision Maker Media - Creative Shorts Fellowship guidelines (2026),,6371
0,National Film and Video Foundation / Netherlands Film Fund: Thuthuka Co-Development Fund,ZA,mixed,closed,The 2025 call opened on 2 September 2025 and closed on 7 October 2025.,yes,,,40000.0,EUR,2026-04,current,-13,www.nfvf.co.za,https://www.nfvf.co.za/national-film-and-video-foundation-netherlands-film-fund-thuthuka-co-development-fund-call-4/,NFVF - Thuthuka Co-Development Fund call,,3140
0,National Film and Video Foundation Production and Development Funding Call,ZA,government,closed,Cycle 1 funding for the 2025/2026 financial year opened on 17 February 2025 and closed on 24 March 2025; NFVF said a separate short-film documentary call would open later in the financial year.,yes,,,200000.0,ZAR,2026-04,current,-13,www.nfvf.co.za,https://www.nfvf.co.za/the-national-film-and-video-foundation-nfvf-production-and-development-funding-call-2/,NFVF - Production and Development Funding Call,,3120
